,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
108,0,18744,320462,2257738,8549227,19677430,29639920,30551226,22230847,11628018,4399908,1206048,236946,32551,2981,144,4,0,0,0,0,0,0
109,0,15426,263901,1852025,6990996,15992613,23893951,24419309,17565617,9056984,3366067,904960,172041,22736,1953,124,2,0,0,0,0,0,0
110,0,12409,216369,1514444,5692633,12949258,19214450,19437664,13815939,7021315,2563534,675283,124789,15973,1372,53,2,0,0,0,0,0,0
111,0,10229,176381,1235099,4621174,10454592,15383885,15414394,10829624,5422313,1945850,499125,90126,10914,905,39,1,0,0,0,0,0,0
112,0,8211,144232,1006935,3748255,8411947,12274248,12178429,8442129,4166337,1469858,367435,64258,7397,558,27,1,0,0,0,0,0,0
113,0,6857,116811,816011,3021620,6745352,9758521,9586480,6559930,3183851,1099466,269116,45603,5207,374,14,0,0,0,0,0,0,0
114,0,5552,94672,660632,2433544,5390048,7731188,7514478,5074570,2425256,821325,195025,32005,3510,228,9,0,0,0,0,0,0,0
115,0,4441,76658,532684,1951047,4298829,6107181,5864957,3913076,1838597,607944,141169,22321,2286,156,7,0,0,0,0,0,0,0
116,0,3658,62023,427514,1561198,3410619,4803656,4560695,3002438,1387019,450311,101360,15234,1574,95,2,0,0,0,0,0,0,0
117,0,2830,50226,343310,1246214,2699461,3769313,3539217,2294752,1040458,329800,72258,10644,1028,47,1,0,0,0,0,0,0,0
118,0,2392,40079,274791,990230,2131774,2944606,2729946,1741381,776669,241197,51167,7174,640,31,1,0,0,0,0,0,0,0
119,0,1857,32063,217666,785705,1675480,2294239,2096854,1321539,577590,174702,35779,4895,417,28,1,0,0,0,0,0,0,0
120,0,1496,25716,173931,620235,1312925,1778371,1608304,994778,427175,126214,25108,3317,272,14,0,0,0,0,0,0,0,0
121,0,1217,20516,137999,489819,1026533,1377009,1228286,749057,314322,90635,17372,2164,148,10,0,0,0,0,0,0,0,0
122,0,969,16119,109454,383732,800447,1059381,933677,560483,230241,64386,12081,1397,85,2,0,0,0,0,0,0,0,0
123,0,711,13238,86705,300980,621899,814184,705208,415390,167386,45499,8191,934,66,3,0,0,0,0,0,0,0,0
124,0,579,10098,67924,235883,480405,622632,532446,308438,121492,31813,5682,620,35,0,0,0,0,0,0,0,0,0
125,0,444,7870,53776,183517,370890,475925,400747,227414,87306,22550,3813,404,21,1,0,0,0,0,0,0,0,0
126,0,360,6446,41842,142256,286053,361201,298806,167133,62530,15474,2474,254,11,1,0,0,0,0,0,0,0,0
127,0,284,5040,32310,110177,219236,272880,223964,122692,44678,10866,1646,133,7,1,0,0,0,0,0,0,0,0
128,0,222,3840,25464,85007,168091,206332,165953,89145,31534,7331,1096,85,4,0,0,0,0,0,0,0,0,0
129,0,172,2970,19697,65679,127434,155418,123553,64359,22447,5103,737,65,4,0,0,0,0,0,0,0,0,0
130,0,141,2318,15270,50302,96463,115971,90529,46785,15715,3481,457,30,1,0,0,0,0,0,0,0,0,0
131,0,120,1804,11780,38809,73548,86776,66399,33105,10939,2302,267,28,0,0,0,0,0,0,0,0,0,0
132,0,91,1410,8969,29648,55298,63970,48686,23994,7601,1494,168,7,0,0,0,0,0,0,0,0,0,0
133,0,89,1108,6972,22586,41606,47864,35414,16877,5129,1012,113,3,0,0,0,0,0,0,0,0,0,0
134,0,42,872,5315,17022,31112,35174,25843,11825,3654,670,79,0,0,0,0,0,0,0,0,0,0,0
135,0,47,621,4071,12966,23444,26254,18331,8504,2451,398,41,3,0,0,0,0,0,0,0,0,0,0
136,0,38,519,3081,9834,17328,19210,13293,5749,1598,276,28,1,0,0,0,0,0,0,0,0,0,0
137,0,29,361,2421,7372,13122,13738,9615,4041,1097,182,12,1,0,0,0,0,0,0,0,0,0,0
138,0,16,280,1797,5478,9589,10392,6840,2831,715,95,12,0,0,0,0,0,0,0,0,0,0,0
139,0,24,244,1332,4077,7045,7232,4795,2014,521,70,6,0,0,0,0,0,0,0,0,0,0,0
140,0,12,173,1035,3087,5114,5475,3453,1319,301,47,5,0,0,0,0,0,0,0,0,0,0,0
141,0,12,137,778,2241,3888,3819,2382,967,223,26,2,0,0,0,0,0,0,0,0,0,0,0
142,0,2,95,609,1689,2805,2680,1686,607,129,14,2,0,0,0,0,0,0,0,0,0,0,0
143,0,5,86,478,1295,2081,1948,1128,425,96,9,0,0,0,0,0,0,0,0,0,0,0,0
144,0,3,48,329,908,1441,1391,795,319,59,5,0,0,0,0,0,0,0,0,0,0,0,0
145,0,4,29,254,685,1071,1027,520,190,35,1,0,0,0,0,0,0,0,0,0,0,0,0
146,0,2,25,177,546,820,700,376,109,21,1,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,29,127,362,556,461,261,93,13,1,0,0,0,0,0,0,0,0,0,0,0,0
148,0,1,15,98,295,420,330,171,64,4,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,16,90,205,293,240,103,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,1,8,57,145,197,152,77,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,6,33,89,156,126,38,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,2,8,19,74,93,74,33,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,7,13,50,83,44,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,3,12,31,53,44,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,1,15,26,24,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,2,4,15,24,17,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,7,12,19,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,6,3,8,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
